Print massiv:
0,00113986315680916
0,00086384369479484
28,4701126010338
47,0686519543485
68,0473733290119
82,3172171174418
107,299710069621
131,614078722418
134,906781718572
151,324467267258
164,957724418869
193,646688966011
198,292505895177
215,313968570153
253,480351656427
257,549029603101
263,896880707338
281,398075190693
294,258662573274
334,964575007314
353,691968279286
366,98109154436
378,976319378567
389,269823139299
433,454105830474
388,5084895384
418,208649029758
467,410029010336
444,467279147074
462,759006682746
528,757782112764
541,941582251246
560,581814991122
507,918404891748
540,347985397785
604,278901086114
616,65233727568
620,78498303821
616,495443680733
709,575054327791
676,634067367289
742,026445294078
694,042537997796
751,820876254264
741,383071377763
739,801885370274
826,979995351942
806,008045189789
776,384790435977
807,030926414389
804,429017910058
821,805658938174
890,205203408883
854,944133833755
846,655814159407
902,306711613533
957,966911602803
1048,38883967777
1063,73895332426
970,173472773681
1080,56008195253
1048,17944069035
1104,20213107748
1055,32779706503
1180,24885436762
1091,36438312823
1172,93826710887
1196,15659045311
1181,7384786748
1202,60803302822
1284,76344153473
1145,31537643782
1171,30077222902
1421,37954753014
1205,20153772975
1325,53355580767
1393,43143576923
1161,05677119072
1294,90881577397
1350,2299893352
1248,89460574187
1365,47825271222
1455,4448136515
1449,79609266013
1502,12900788744
1437,16160981268
1459,36185720389
1515,55366256833
1557,6493998043
1634,06689495714
1619,80720392276
1656,82049642345
1607,03364818443
1683,16716309091
1569,36139484794
1653,68539362733
1546,74963691274
1577,34148483943
1762,99106188918
1585,91095854153
