0,00110544611067463
2,2774308618292
3,83230534185792
5,81525964738374
8,87823184364686
9,68136478332245
12,559938307648
13,8593359631915
17,606624309994
17,0024656417128
22,7247793568795
21,3231275769795
24,7294132226694
25,7686665612947
31,1582980059316
26,9014867078057
31,0842051615782
34,1633931444253
35,3206556502408
39,4476501571119
38,0988279110057
43,0708285467781
43,0512131130854
45,4586978236664
48,0084029175746
56,0840039328127
52,8708717819006
57,3949298321538
55,6248138971241
62,9340411065212
59,2138373908809
63,1450303167403
60,2612824600858
72,0134391709365
65,7683428615341
68,4288797559049
76,2746194305661
69,4079804475815
84,4223604542692
71,8922272459952
87,4445198411482
100,109913227913
78,8475164512259
88,7687615249086
89,8369269488794
100,680071874961
90,604069913992
92,0830470483964
89,3313983138023
97,1036054622013
99,3876329171209
113,753001055581
108,983578343377
108,812760791279
112,116600957875
114,916840584269
106,271401306664